"treated_id","control_id"
"CA3351511728419970620_A","CA4162412008719990925_C1"
"CA3351511728419970620_A","CA3608411857220161004_C1"
"CA3351511728419970620_A","CA3782011879420030902_C1"
"CA3351511728419970620_A","CA3454212045819981006_C1"
"CA3351511728419970620_A","CA4090212304019870830_C1"
"CA3351511728419970620_A","CA4177812162219990823_C1"
"CA3351511728419970620_A","CA3484512056319930615_C1"
"CA3351711677119931027_A","CA3655211908319901008_C1"
"CA3351711677119931027_A","CA3484512056319930615_C1"
"CA3351711677119931027_A","CA3607412018819840329_C1"
"CA3351711677119931027_A","CA3963312058920060919_C1"
"CA3351711677119931027_A","CA4037112070120060718_C1"
"CA3351711677119931027_A","CA3888612004020070623_C1"
"CA3351711677119931027_A","CA3759112046019960723_C1"
"CA3351711677119931027_A","CA4042012031420010808_C1"
"CA3351711677119931027_A","CA3606711705920000722_C1"
"CA3351711677119931027_A","CA3923312230719920921_C1"
"CA3351711677119931027_A","CA3396111657819880704_C1"
"CA3351711677119931027_A","CA3396111720119960630_C1"
"CA3351711677119931027_A","CA3898712265419920920_C1"
"CA3351711677119931027_A","CA3518011847820030721_C1"
"CA3351711677119931027_A","CA4059212068919850708_C1"
"CA3351711677119931027_A","CA4192312065019840813_C1"
"CA3351711677119931027_A","CA3976912001319850708_C1"
"CA3351711677119931027_A","CA3976512124820080622_C1"
"CA3351711677119931027_A","CA3762512119620040719_C1"
"CA3351711677119931027_A","CA3988312279019940827_C1"
"CA3355611691120120814_A","CA4028412415619900808_C1"
"CA3355611691120120814_A","CA3626012031719840525_C1"
"CA3355611691120120814_A","CA3344811666519940624_C1"
"CA3355611691120120814_A","CA4199712363419870830_C1"
"CA3355611691120120814_A","CA3959912231720000505_C1"
"CA3355611691120120814_A","CA3337111674720120809_C1"
"CA3355611691120120814_A","CA4042012031420010808_C1"
"CA3355611691120120814_A","CA3790211905120100726_C1"
"CA3355611691120120814_A","CA3923312230719920921_C1"
"CA3355611691120120814_A","CA3998112259119840712_C1"
"CA3355611691120120814_A","CA3759312148820090813_C1"
"CA3355611691120120814_A","CA3954212303919870831_C1"
"CA3355611691120120814_A","CA4075512062319940918_C1"
"CA3355611691120120814_A","CA4180012381520150801_C1"
"CA3355611691120120814_A","CA3360811688220040717_C1"
"CA3355611691120120814_A","CA3944512141720130816_C1"
"CA3355611691120120814_A","CA3396111720119960630_C1"
"CA3355611691120120814_A","CA4192312065019840813_C1"
"CA3355611691120120814_A","CA3715011941919920813_C1"
"CA3355611691120120814_A","CA3708212221420090812_C1"
"CA3358811678419960701_A","CA3626012031719840525_C1"
"CA3358811678419960701_A","CA4057212208419860801_C1"
"CA3358811678419960701_A","CA3783112171619980504_C1"
"CA3358811678419960701_A","CA3656911816319890330_C1"
"CA3358811678419960701_A","CA3787811915920150815_C1"
"CA3358811678419960701_A","CA3648711874620030927_C1"
"CA3358811678419960701_A","CA3637912058319850706_C1"
"CA3358811678419960701_A","CA3615912025120061025_C1"
"CA3358811678419960701_A","CA3861512212419880918_C1"
"CA3358811678419960701_A","CA3641412125020160522_C1"
"CA3358811678419960701_A","CA3597112115720150618_C1"
"CA3358811678419960701_A","CA3567012100420160813_C1"
"CA3358811678419960701_A","CA3448712019620040605_C1"
"CA3358811678419960701_A","CA3785511958820030731_C1"
"CA3358811678419960701_A","CA4119812272519870831_C1"
"CA3358811678419960701_A","CA3722512083420010613_C1"
"CA3358811678419960701_A","CA3504011960120160605_C1"
"CA3358811678419960701_A","CA3398611448919860413_C1"
"CA3358811678419960701_A","CA3488112062219890614_C1"
"CA3358811678419960701_A","CA3548112026719930614_C1"
"CA3359211779419931027_A","CA3695911870020010730_C1"
"CA3359211779419931027_A","CA3597112115720150618_C1"
"CA3359211779419931027_A","CA3783112171619980504_C1"
"CA3359211779419931027_A","CA3541611826720060805_C1"
"CA3359211779419931027_A","CA3953212141419990823_C1"
"CA3359211779419931027_A","CA3814611990020030720_C1"
"CA3359211779419931027_A","CA3501711684319950622_C1"
"CA3359211779419931027_A","CA3448712019620040605_C1"
"CA3359211779419931027_A","CA3983412102119990823_C1"
"CA3359211779419931027_A","CA4171712155520061024_C1"
"CA3359211779419931027_A","CA3619712028419960512_C1"
"CA3359211779419931027_A","CA3656911816319890330_C1"
"CA3359211779419931027_A","CA3615912025120061025_C1"
"CA3359211779419931027_A","CA4146612092420140703_C1"
"CA3359211779419931027_A","CA4090212304019870830_C1"
"CA3359211779419931027_A","CA4028412415619900808_C1"
"CA3359211779419931027_A","CA3589912013419840525_C1"
"CA3359211779419931027_A","CA4037112070120060718_C1"
"CA3359211779419931027_A","CA3502511902319930510_C1"
"CA3359211779419931027_A","CA4003612349819900923_C1"
"CA3360011760620020513_A","CA3604211878120070706_C1"
"CA3360011760620020513_A","CA3514011979419960622_C1"
"CA3360011760620020513_A","CA3646712120519940805_C1"
"CA3360011760620020513_A","CA3601111879719850712_C1"
